reference_no,pubyr,author1last,author2last,reftitle,doi,publication_type,complete_aff,grid_code,samp_country,aff_country1,aff_country2,aff_country3,aff_country4,aff_country5,aff_country6,aff_country7,amber
74309,2020,Daza,Stanley,Enigmatic amphibians in mid-Cretaceous amber were chameleon-like ballistic feeders,10.1126/science.abb6005,journal article,"Department of Biological Sciences, Sam Houston State University, Huntsville, TX, USA. \n Department of Herpetology, Florida Museum of Natural History, Gainesville, FL, USA. \nInstitut Catal<88> de Paleontologia Miquel Crusafont, Universitat Aut<98>noma de Barcelona, Cerdanyola del Vall<8f>s, Spain.\nSchool of Earth Sciences, University of Bristol, Bristol, UK.\nDepartment of Biology and Center for Biodiversity and Ecosystem Stewardship, Villanova University, Villanova, PA, USA. \nUnidad Ejecutora Lillo, CONICET - FML, San Miguel de Tucum<87>n, Argentina. 7
Department of Ecology, Laboratory of Evolutionary Biology, Faculty of Natural Sciences, Comenius University in Bratislava, Bratislava, Slovakia. \nAustralian Centre for Neutron Scattering, Australian Nuclear Science and Technology Organisation, Sydney, NSW, Australia. \nDepartment of Research and Conservation, Allwetterzoo M<9f>nster, M<9f>nster, Germany.\nDepartment of Cell and Developmental Biology, University College London, London, UK.",,Myanmar (Burma),USA,Spain,UK,Argentina,Slovakia,Germany,Australia,yes
74131,2020,Drohojowska,Szwedo,New fossil from mid-Cretaceous Burmese amber confirms monophyly of Liadopsyllidae (Hemiptera: Psylloidea),10.1038/s41598-020-74551-6,journal article,"Institute of Biology, Biotechnology and Environmental Protection, University of Silesia, 9, Bankowa Street, 40_007 Katowice, Poland. \nLaboratory of Evolutionary Entomology and Museum of Amber Inclusions, Department of Invertebrate Zoology and Parasitology, University of Gda_sk, 59, Wita Stwosza Street, 80_308 Gda_sk, Poland. \nAmber Study Group, c/o Geological-Palaeontological Museum of the University of Hamburg, Bundesstra<a7>e 55, 20146 Hamburg, Germany. 4 Naturhistorisches Museum, Augustinergasse 2, 4001 Basel, Switzerland",,Myanmar (Burma),Poland,Switzerland,,,,,,yes
74250,2020,Du,Slipinski,"Description of a new species of Eucinetidae (Coleoptera, Scirtoidea) from Cretaceous Burmese amber",10.3897/zookeys.982.39335,journal article,"Sun Yat-sen University, Guangzhou, China\nAustralian National Insect Collection, Canberra, Australia",,Myanmar (Burma),China,Australia,,,,,,yes
74009,2020,Emeljanov,Shcherbakov,The first Mesozoic Derbidae (Homoptera: Fulgoroidea) from Cretaceous Burmese amber,10.15298/rusentj.29.3.02,journal article,"Zoological Institute, Russian Academy of Sciences, Universitetskaya Emb. 1, St.-Petersburg 199034, Russia. E-mail:alexandr.emeljanov@zin.ru.2Borissiak Paleontological Institute, Russian Academy of Sciences, Profsoyuznaya St. 123, Moscow, 11764 ",,Myanmar (Burma),Russia,,,,,,,yes
74194,2020,Fu,Huang,"Revision of the genus Jiaotouia (Hemiptera, Cercopoidea) with description of a new species from mid-Cretaceous Burmese amber",10.1016/j.cretres.2020.104558,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Center for Excellence in Life and Paleoenvironment, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing 210008, China\nUniversity of Chinese Academy of Science, Beijing 100049, China",,Myanmar (Burma),China,,,,,,,yes
75089,2020,Fu,Huang,"New mimarachnids in mid-Cretaceous amber from northern Myanmar (Hemiptera, Fulgoromorpha)",10.1016/j.cretres.2020.104682,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Center for Excellence in Life and Paleoenvironment, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing 210008, China\nUniversity of Chinese Academy of Science, Beijing 100049, China",,Myanmar (Burma),China,,,,,,,yes
73266,2020,Gustafson,Michat,Burmese amber reveals a new stem lineage of whirligig beetle (Coleoptera: Gyrinidae) based on the larval stage,10.1093/zoolinnean/zlz161,journal article,"Department of Ecology and Evolutionary Biology and Division of Entomology, Biodiversity Institute, University of Kansas, Lawrence, KS 66045, USA;Laboratory of Entomology, Department of Biodiversity and Experimental Biology, Institute of Biodiversity and Experimental and Applied Biology, University of Buenos Aires, Buenos Aires, Argentina;State Bavarian Collection of Zoology, Mï¿½nchhausenstraï¿½e 21, 812 47 Mï¿½nchen, Germany",,Myanmar (Burma),USA,Argentina,Germany,,,,,yes
75178,2020,Hakim,Azar,"Paraprotopsyllidiidae fam. nov., a new thrips-like protopsyllidioid family from mid-Cretaceous Burmese amber (Hemiptera; Sternorrhyncha)",10.1016/ j.cretres.2020.104726,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Center for Excellence in Life and Paleoenvironment, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing 210008, People<d5>s Republic of China\nUniversity of Science and Technology of China, Hefei 230026, People<d5>s Republic of China\nLebanese University, Faculty of Science II, Fanar, Natural Sciences Department, Fanar - El Matn, PO box 26110217 Lebanon\nLaboratory of Evolutionary Entomology and Museum of Amber Inclusions, Department of Invertebrate Zoology and Parasitology, University of Gda_sk, 59, Wita Stwosza Street, PL80 308 Gda_sk, Poland\nInstitute of Biology, Biotechnology and Environmental Protection, University of Silesia, 9,
Bankowa St., PL40-007 Katowice, Poland",,Myanmar (Burma),China,Lebanon,Poland,,,,,yes
74629,2020,Háva,,To the knowledge of the subfamily Attageninae (Coleoptera: Dermestidae) from Cretaceous Burmese amber,10.25221/fee.420.2,journal article,"Forestry and Game Management Research Institute, Strnady 136, CZ-156 00 Praha 5 - Zbraslav, Czech Republic.",,Myanmar (Burma),Czech Republic,,,,,,,yes
71924,2020,Hinkelman,VrÃ…Â¡anskÃƒÂ¡,A Myanmar amber cockroach with protruding feces contains pollen and a rich microcenosis,10.1007/s00114-020-1669-y,journal article,"Institute of Zoology, Slovak Academy of Sciences, D<9c>bravsk<87> cesta
9, 845 06 Bratislava, Slovakia
2 Earth Science Institute, Slovak Academy of Sciences, D<9c>bravsk<87>
cesta 9, 106, 840 05 Bratislava, Slovakia
3 AMBA projekty, Tich<87> 4, 811 02 Bratislava, Slovakia",,Myanmar (Burma),Slovakia,,,,,,,yes
72721,2020,Hsiao,,"Taxonomic notes on Eustrophinae from the mid-Cretaceous Burmese amber, with description of a new species (Coleoptera, Tetratomidae)",,journal article,"Australian National Insect Collection, CSIRO National Research Collections Australia, Canberra, Australia;Division of Ecology and Evolution, Research School of Biology, The Australian National University, Canberra, Australia",,Myanmar (Burma),Australia,,,,,,,yes
74202,2020,Hu,Lei,A new whip spider (Arachnida: Amblypygi) in mid-Cretaceous Kachin amber,10.1016/j.cretres.2020.104596,journal article,"School of GeoSciences, Yangtze University, Wuhan, Hubei, 430100, China
b State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and
Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China
c University of Science and Technology of China, No.96, Jin Zhai Road Baohe District, Hefei, Anhui, 230026, China
d University of Chinese Academy of Sciences, Beijing, 100049, China",,Myanmar (Burma),China,,,,,,,yes
73024,2020,Jarzembowski,Wang,An archaic-beetle 'Jaws' from mid-Cretaceous Burmese amber\r\n(Coleoptera: Archostemata),10.1016/j.pgeola.2020.02.003,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing, 210008, China;Department of Earth Sciences, Natural History Museum, London, SW7 5BD, UK;Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals, Shandong University of Science and Technology, Qingdao, Shandong, 266590, China;Department of Earth Sciences, The University of Hong Kong, Hong Kong Special Administrative Region, China",,Myanmar (Burma),China,UK,,,,,,yes
71860,2020,Jenkins Shaw,Wang,"The oldest representative of the rove beetle tribe Pinophilini (Coleoptera: Staphylinidae: Paederinae), from Upper Cretaceous Burmese amber",,journal article,"Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China; nc.ca.zoi@wahssniknejhsoj
2State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing 210008, China; nc.ca.sapgin@gnawob
3Iowa State University, Department of Ecology, Evolution, & Organismal Biology, 2200 Osborn Dr., Bessey Hall, Ames, IA 50011, USA; moc.liamg@aramgadalyz
4University of Gda_sk, Department of Invertebrate Zoology and Parasitology, Wita Stwosza 59, 80-308 Gda_sk, Poland",,Myanmar (Burma),China,USA,Poland,,,,,yes
75091,2020,Jiang,Szwedo,Ayaimatum trilobatum gen. et sp. nov. of Mimarachnidae (Hemiptera: Fulgoromorpha) from mid-Cretaceous amber of Kachin (northern Myanmar),10.19800/j.cnki.aps.2020.01.09,journal article,Unknown,,Myanmar (Burma),China,Poland,,,,,,yes
73309,2020,Jouault,NgÃ´-Muller,"Taxonomic additions to the pelecinid wasps (Hymenoptera, Pelecinidae) of the 'mid-Cretaceous' Burmese amber",10.1016/j.cretres.2020.104505,journal article,"Univ., CNRS, Gï¿½osciences Rennes, UMR 6118, F-35000 Rennes, France;UFR Sciences du Vivant, Universitï¿½ Paris Diderot, Universitï¿½ de Paris, F-75013 Paris, France;Nivolas Vermelle, France;Institut de Systï¿½matique, ï¿½volution, Biodiversitï¿½, ISYEB - UMR 7205 ï¿½ CNRS, MNHN, UPMC, EPHE, Musï¿½um national dï¿½Histoire naturelle, Sorbonne Universitï¿½s, F-75005 Paris, France",,Myanmar (Burma),France,,,,,,,yes
74182,2020,Jouault,Perrichot,A new genus and species of parasitic wasps (Hymenoptera: Diapriidae) from Hkamti mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104533,journal article,"Univ. Rennes, CNRS, Geosciences Rennes, UMR 6118, 35000, Rennes, France\n Institut de Syst<8e>matique, <83>volution, Biodiversit<8e>, ISYEB - UMR 7205 <d0> CNRS, MNHN, UPMC,
EPHE, Mus<8e>um national d<d5>Histoire naturelle, Sorbonne Universit<8e>s, F-75005 Paris, France",,Myanmar (Burma),France,,,,,,,yes
74208,2020,Jouault,Rasnitsyn,A new myanmarinid wasp (Hymenoptera: Stephanoidea) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104621,journal article,"Univ Rennes, CNRS, G<8e>osciences Rennes, UMR 6118, F-35000, Rennes, France
b
A.A. Borissiak Palaeontological Institute, Russian Academy of Sciences, Moscow, 117647, Russia
c
Natural History Museum, Cromwell Road, London, SW7 5BD, UK",,Myanmar (Burma),France,Russia,UK,,,,,yes
74201,2020,Kocárek,,"A diminutive elcanid from mid-Cretaceous Burmese amber, Ellca nevelka gen. et sp. nov., and the function of metatibial spurs in Elcanidae (Orthoptera)",10.1016/j.cretres.2020.104574,journal article,"Department of Biology and Ecology, University of Ostrava, Chittussiho 10, CZ 710 00 Slezsk<87> Ostrava, Czech Republic",,Myanmar (Burma),Czech Republic,,,,,,,yes
74276,2020,Kolibác,Peris,A new saproxylic species of Lophocateridae (Coleoptera: Cleroidea) from Upper Cretaceous Kachin amber (Myanmar),10.1016/j.cretres.2020.104647,journal article,"Department of Entomology, Moravian Museum, 62700, Brno, Czech Republic
b
Institute of Geosciences, Section Paleontology, University of Bonn, 53115, Bonn, Germany",,Myanmar (Burma),Czech Republic,Germany,,,,,,yes
74627,2020,Kopec,Krzeminski,"The oldest representatives of the Pilaria (Diptera, Limoniidae) genus from mid-Cretaceous Burmese amber, northern Myanmar",10.1016/j.cretres.2020.104671,journal article,"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, S_awkowska 17, 31-016 Krak<97>w, Poland
b
Institute of Biology, Pedagogical University of Krakow, Podbrzezie 3, 31-054 Krakow, Poland",,Myanmar (Burma),Poland,,,,,,,yes
73305,2020,Lattke,Melo,New haidomyrmecine ants (Hymenoptera: Formicidae) from mid-Cretaceous amber of northern Myanmar,10.1016/j.cretres.2020.104502,journal article,"Universidade Federal do Paranï¿½, Departamento de Zoologia, Curitiba, PR, CEP 81531-980, Brazil",,Myanmar (Burma),Brazil,,,,,,,yes
73729,2020,Legalov,HÃ¡va,The first record of subfamily Polycaoninae (Coleoptera; Bostrichidae) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104620,journal article,"Institute of Systematics and Ecology of Animals of the Siberian Branch of the Russian Academy of Sciences, Frunze Str., 11, Novosibirsk, 630091, Russia;Altai State University, Lenina Str., 61, Barnaul, 656049, Russia;Forestry and Game Management Research Institute, Strnady 136, CZ-156 00, Praha 5, Zbraslav, Czech Republic",,Myanmar (Burma),Russia,Czech Republic,,,,,,yes
73255,2020,Li,Liu,A new genus and species of Dipteromantispidae (Insecta: Neuroptera) from Cretaceous Burmese amber,10.19800/j.cnki.aps.2020.01.11,journal article,"Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193,China",,Myanmar (Burma),China,,,,,,,yes
74197,2020,Li,Zhuo,New dipteromantispids (Insecta: Neuroptera: Dipteromantispidae) from mid-Cretaceous Myanmar amber,10.1016/j.cretres.2020.104579,journal article,"Department of Entomology, China Agricultural University, Beijing, 100193, China
b
Beijing Xiachong Amber Museum, 9 Shuanghe Middle Road, Beijing, 100023, China
c
State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing, China",,Myanmar (Burma),China,,,,,,,yes
74184,2020,Li,Zhao,Cockroach Stavba jarzembowskii sp. nov. (Blattaria: Liberiblattindae) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104531,journal article,"School of GeoSciences, Yangtze University, Wuhan, 430100, China
b
State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China
c
University of Science and Technology of China, Hefei, 230026, China
d
Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals, Shandong University of Science and Technology, Qingdao, Shandong, 266590, China",,Myanmar (Burma),China,,,,,,,yes
75180,2020,Li,Huang,A brachypterous cockroach (Dictyoptera: Blattaria: Blattoidea) and its potential relevance to the palaeoenvironment of mid-Cretaceous Myanmar amber locality,10.1016/j.cretres.2020.104730,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Center for Excellence in Life and Paleoenvironment, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing, 210008, China
b
University of Science and Technology of China, Hefei, 230026, China",,Myanmar (Burma),China,,,,,,,yes
74997,2020,Li,Tihelka,"Muonabuntor gen. nov., a new genus of false click beetles from mid-Cretaceous Burmese amber (Coleoptera: Elateroidea: Eucnemidae)",10.11646/palaeoentomology.3.4.12,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing 210008, China School of Life Sciences, Peking University, Beijing 100871, China\nDepartment of Animal Science, Hartpury College, Hartpury GL19 3BE, United Kingdom\nState Key Laboratory of Biocontrol, School of Life Sciences, Sun Yat-Sen University, Guangzhou 510275, China Australian National Insect Collection, CSIRO National Research Collections Australia, GPO Box 1700, Canberra ACT 2601, Australia\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing 210008, China\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing 210008, China School of Earth Sciences, University of Bristol, Life Sciences Building, Tyndall Avenue, Bristol BS8 1TQ, United Kingdom",,Myanmar (Burma),China,UK,Australia,,,,,yes
74412,2020,Li,Yamamoto,A miniaturized ommatid beetle in mid-Cretaceous Burmese amber (Coleoptera: Archostemata: Ommatidae),10.11606/1807-0205/2020.60.63,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, and Center for Excellence in Life and Palaeoenvironment, Chinese Academy of Sciences, Nanjing, China; School of Life Sciences, Peking University, Beijing, China.\nHokkaido University Museum, Sapporo, Japan.",,Myanmar (Burma),China,Japan,,,,,,yes
74187,2020,Lis,Roca-Cusachs,"Pullneyocoris dentatus gen. et sp. nov. (Hemiptera: Pentatomoidea: Cydnidae), the third representative of the subfamily Amnestinae from mid-Cretaceous amber of northern Myanmar",10.1016/j.cretres.2020.104562,journal article,"Institute of Biology, University of Opole, Oleska 22, Opole, 45-052, Poland
b
Biodiversity Research Institute (IRBio - Institut de Recerca a la Biodiversitat), University of Barcelona, Barcelona, Spain
c
Laboratory of Systematic Entomology, Department of Applied Biology, College of Agriculture and Life Sciences, Chungnam National University, Daejeon, South Korea",,Myanmar (Burma),Poland,Spain,South Korea,,,,,yes
74728,2020,Lohrmann,Zhang,"†Cretolixon - a remarkable new genus of rhopalosomatid wasps (Hymenoptera: Vespoidea: Rhopalosomatidae) from chemically tested, mid-Cretaceous Burmese (Kachin) amber supports the monophyly of Rhopalosomatinae",10.5194/fr-23-215-2020,journal article,"NA<86>bersee-Museum Bremen, Bahnhofsplatz 13, 28195 Bremen, Germany
2Museum f<9f>r Naturkunde, Leibniz-Institut f<9f>r Evolutions- und Biodiversit<8a>tsforschung, Invalidenstra<a7>e 43, 10115 Berlin, Germany
3School of Geography and Tourism, Qufu Normal University, Rizhao, 276826, China
4State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing, 210008, China
5Zoologisches Institut und Museum, University of Greifswald, Loitzer Str. 26, 17489 Greifswald, Germany
6Department of Biology, Union University, 1050 Union University Drive, Jackson, TN 38305, USA
7Amber Study Group, c/o Geological-Paleontological Museum of the University of Hamburg, Bundesstra<a7>e 55, 20146 Hamburg, Germany
8G<8e>osciences Rennes, CNRS, Univ Rennes, UMR 6118, 35000 Rennes, France",,Myanmar (Burma),Germany,China,USA,France,,,,yes
73313,2020,Luo,Jiang,A new genus and species of Perforissidae (Hemiptera: Fulgoromorpha) from mid-Cretaceous Kachin amber,10.1016/j.cretres.2020.104518,journal article,"School of GeoSciences, Yangtze University, Wuhan, 430100, Hubei, China;State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China;State Key Laboratory of Biogeology and Environmental Geology, China University of Geosciences (Beijing), Beijing, 100083, China;Laboratory of Evolutionary Entomology and Museum of Amber Inclusions, Department of Invertebrate Zoology and Parasitology, Faculty of Biology, University of Gda?sk, 59, Wita Stwosza Street, PL80-308, Gda?sk, Poland",,Myanmar (Burma),China,Poland,,,,,,yes
73851,2020,Luo,Jiang,A new planthopper family Katlasidae fam. nov. (Hemiptera: Fulgoromorpha: Fulgoroidea) from mid-Cretaceous Kachin amber,10.1016/j.cretres.2020.104532,journal article,"School of GeoSciences, Yangtze University, Wuhan 430100, Hubei, China
b
State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing 210008, China
c
State Key Laboratory of Biogeology and Environmental Geology, China University of Geosciences (Beijing), Beijing 100083, China
d
Laboratory of Evolutionary Entomology and Museum of Amber Inclusions, Department of Invertebrate Zoology and Parasitology, Faculty of Biology, University of Gda_sk, 59, Wita Stwosza Street, PL80-308 Gda_sk, Poland",,Myanmar (Burma),China,Poland,,,,,,yes
75169,2020,Luo,Xu,"Enervipraeala nigra gen. et sp. nov., a umenocoleid dictyopteran (Insecta) from mid-Cretaceous Kachin amber",10.1016/j.cretres.2020.104702,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China\nUniversity of Chinese Academy of Sciences, Beijing, 100049, China",,Myanmar (Burma),China,,,,,,,yes
74621,2020,Luo,Banar,"Allocephalocorinae, a new subfamily of Enicocephalidae, based on Allocephalocoris zhengi gen. et sp. nov., in mid-Cretaceous amber from northern Myanmar (Insecta: Hemiptera)",10.1016/j.cretres.2020.104628,journal article,"Institute of Entomology, College of Life Sciences, Nankai University, Weijin Road 94, Tianjin 300071, China
b
State Key Laboratory of Biocontrol, Sun Yat-sen University, 135 Xingangxi Road, Guangzhou 510275, Guangdong, China
c
Department of Entomology, Moravian Museum, Hviezdoslavova 29a, Brno CZ-627 00, Czech Republic",,Myanmar (Burma),China,Czech Republic,,,,,,yes
71710,2020,Mao,Engel,"A new species of Astreptolabis in mid-Cretaceous amber from northern Myanmar, with the discovery of the first male of Astreptolabidinae (Dermaptera)",,journal article,NA,,Myanmar (Burma),China,USA,,,,,,yes
75000,2020,Mey,Wichard,"Descriptions of two new species of Tarachoptera from Burmese amber (Insecta, Amphiesmenoptera: Tarachoptera)",10.21248/contrib.entomol.70.1.181-188,journal article,"Universi<8a>t K<9a>ln, Germany\nChinese Academy of Sciences, Nanjing, China",,Myanmar (Burma),Germany,China,,,,,,yes
75004,2020,Muona,,The late Cretaceous amber Eucnemidae fossils from Myanmar,,journal article,Unknown,,Myanmar (Burma),Unknown,,,,,,,yes
73020,2020,Nakamine,Yamamoto,Hidden diversity of small predators: new thorny lacewings from mid-Cretaceous amber from northern Myanmar (Neuroptera: Rhachiberothidae: Paraberothinae),10.1017/ S0016756820000205,journal article,"Minoh Park Insect Museum, Minoh Park 1ï¿½18, Minoh City, Osaka 562-0002, Japan;2Integrative Research Center,Field Museum of Natural History, 1400 S Lake Shore Drive, Chicago, IL 60605-2496, USA ;Muroto GlobalGeopark Center, Murotomisaki-cho 1810-2, Muroto City, Kochi 781-7101, Japan",,Myanmar (Burma),Japan,USA,,,,,,yes
