Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export
J,"Engel, MS; Huang, DY; Alqarni, AS; Cai, CY",,,,"Engel, Michael S.; Huang, Diying; Alqarni, Abdulaziz S.; Cai, Chenyang",,,An unusual new lineage of sawflies (Hymenoptera) in Upper Cretaceous amber from northern Myanmar,CRETACEOUS RESEARCH,,,English,Article,,,,,,Burmese amber; Cenomanian; Mesozoic; Xyeloidea; Symphyta; Taxonomy,CENTRAL GEORGIA; BASAL LINEAGES; XYELIDAE; PHYLOGENY; SYMPHYTA; INSECTA; CLASSIFICATION; AGE,"A peculiar new lineage of sawflies ('Symphyta') is described and figured from a female beautifully preserved in Upper Cretaceous (Cenomanian) amber from northern Myanmar. Syspastoxyela rhaphidia Engel and Huang, gen. et sp. nov., shares many plesiomorphic features with the primitive Xyelidae, dagger Xyelotomidae, and dagger Xyelydidae such as enlarged and thickened first flagellomere succeeded by a series of thinner and shorter flagellomeres, absence of a transverse mesoscutal sulcus, multiple preapical spurs, and two protibial spurs among other traits. However, the new lineage has an apomorphically contracted forewing venation, lacks a subcostal vein, has a single marginal cell, and lacks crossvein 1r-rs, and thus it is segregated into a new family, Syspastoxyelidae Engel and Huang, fam. nov. The phylogenetic affinities of the new family are discussed and a position near Pamphilioidea or Pamphilioidea + Unicalcarida is advocated. (c) 2015 Elsevier Ltd. All rights reserved.","[Engel, Michael S.] Univ Kansas, Div Entomol, Nat Hist Museum, 1501 Crestline Dr,Suite 140, Lawrence, KS 66045 USA; [Engel, Michael S.] Univ Kansas, Dept Ecol & Evolutionary Biol, Lawrence, KS 66045 USA; [Huang, Diying; Cai, Chenyang] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, Nanjing 210008, Jiangsu, Peoples R China; [Alqarni, Abdulaziz S.] King Saud Univ, Coll Food & Agr Sci, Dept Plant Protect, POB 2460, Riyadh 11451, Saudi Arabia","Engel, MS (corresponding author), Univ Kansas, Div Entomol, Nat Hist Museum, 1501 Crestline Dr,Suite 140, Lawrence, KS 66045 USA.",msengel@ku.edu; dyhuang@nigpas.ac.cn; alqarni@ksu.edu.sa; caichenyang1988@163.com,"Alqarni, Abdulaziz S./D-5246-2015; Engel, Michael S/C-5461-2012","Alqarni, Abdulaziz S./0000-0003-1324-332X; Engel, Michael S/0000-0003-3067-077X","National Basic Research Program of ChinaNational Basic Research Program of China [2012CB821903]; U.S. National Science FoundationNational Science Foundation (NSF) [DEB-1144162]; King Saud University, Deanship of Scientific Research","We are thankful to two anonymous reviewers for positive feedback on an earlier version of the manuscript. D.-Y.H. and C.-Y.C. were supported by the National Basic Research Program of China (2012CB821903), and the participation of M.S.E. was partially supported by U.S. National Science Foundation grant DEB-1144162. This work was supported by the Visiting Professor Program at King Saud University, Deanship of Scientific Research.",,39,10,14,0,9,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,MAY,2016,60,,,,,,281,286,,10.1016/j.cretres.2015.12.014,,,6,Geology; Paleontology,Geology; Paleontology,DD7JC,WOS:000370098900019,,Bronze,,,20/07/2021
J,"Yu, YL; Hsiao, Y; Slipinski, A; Jin, JH; Ren, D; Pang, H",,,,"Yu, Yali; Hsiao, Yun; Slipinski, Adam; Jin, Jianhua; Ren, Dong; Pang, Hong",,,"A new Late Cretaceous genus and species of polypore fungus beetles (Coleoptera, Tetratomidae) from northern Myanmar",CRETACEOUS RESEARCH,,,English,Article,,,,,,Tetratomidae; Eustrophinae; Late Cretaceous; Burmese amber,AMBER; PHYLOGENY; TENEBRIONOIDEA; GEOLOGY,"A new polypore fungus beetle is described and illustrated, under the name of Thescelostrophus cretaceus gen. et sp. nov., representing the first documented occurrence of the tribe Eustrophini. The well-preserved specimen was collected from the Upper Cretaceous (Cenomanian, ca. 99 Ma) amber near the Hukawng Valley of northern Myanmar. This fossil species can be assigned to the extant subfamily Eustrophinae based on its elongate oval and strongly narrowed posteriorly body, simple and narrow tarsi, and somewhat clubbed antennomeres. The comparison among the extinct and extant eustrophines supports the previous hypothesis that antennal morphology of early eustrophines was very diverse. Additionally, an overall similarity between Thescelostrophus and extant eustrophines suggests a potential fungivory of this fossil species. Morphological characters preserved in the Burmese amber highlight the diversity of tetratomids during the Late Mesozoic and provide data for future phylogenetic studies of Tetratomidae. (C) 2016 Elsevier Ltd. All rights reserved.","[Yu, Yali; Hsiao, Yun; Jin, Jianhua; Pang, Hong] Sun Yat Sen Univ, State Key Lab Biocontrol, Key Lab Biodivers Dynam & Conservat, Guangdong Higher Educ Inst,Coll Ecol & Evolut, Guangzhou 510275, Guangdong, Peoples R China; [Slipinski, Adam] CSIRO Natl Res Collect Australia, Australian Natl Insect Collect, GPO Box 1700, Canberra, ACT 2601, Australia; [Yu, Yali; Ren, Dong] Capital Normal Univ, Coll Life Sci, Xisanhuanbeilu 105, Beijing 100048, Peoples R China","Pang, H (corresponding author), Sun Yat Sen Univ, State Key Lab Biocontrol, Key Lab Biodivers Dynam & Conservat, Guangdong Higher Educ Inst,Coll Ecol & Evolut, Guangzhou 510275, Guangdong, Peoples R China.",yuyali2934@126.com; yunhsiao@outlook.com; Adam.Slipinski@csiro.au; Issjjh@mail.sysu.edu.cn; rendong@mail.cnu.edu.cn; Lsshpang@mail.sysu.edu.cn,"Slipinski, Adam/AAZ-2485-2020; Pang, Hong/J-8710-2014; Slipinski, Stanislaw Adam/B-4293-2009; Pang, Hong/AAL-7785-2020","Slipinski, Adam/0000-0002-1216-8068; Pang, Hong/0000-0002-0585-3577","National Basic Research Program of China (973Program)National Basic Research Program of China [2013CB127600, 2012CB821906]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [31372243, 31230065, 41272006]; program for Changjiang Scholars and Innovative Research Team in UniversityProgram for Changjiang Scholars & Innovative Research Team in University (PCSIRT) [IRT13081]","We are grateful to two anonymous reviewers for positive feedback on the earlier version of the manuscript. This study is funded by the following grants awarded to HP: National Basic Research Program of China (973Program, Grant No. 2013CB127600) and the National Natural Science Foundation of China (Grants No. 31372243); DR: National Basic Research Program of China (973Program, Grant No. 2012CB821906), the National Natural Science Foundation of China (Grants No. 31230065 and 41272006) and the program for Changjiang Scholars and Innovative Research Team in University (IRT13081).",,32,4,7,1,33,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,Dec-31,2016,68,,,,,,34,39,,10.1016/j.cretres.2016.08.006,,,6,Geology; Paleontology,Geology; Paleontology,DY1LC,WOS:000384855500005,,,,,20/07/2021
J,"Jarzembowski, EA; Wang, B; Zheng, DR",,,,"Jarzembowski, Edmund A.; Wang, B.; Zheng, Daran",,,An amber double first: a new brochocolein beetle (Coleoptera: Archostemata) from northern Myanmar,PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,,,English,Article,,,,,,Cupedidae; Ommatinae; Brochocoleus; Myanmar; New species,OMMATIDAE,"The first brochocolein beetle is described from Burmese amber, Brochocoleus caseyi sp. nov., (Insecta: Coleoptera: Archostemata). It is also the first brochocolein in amber to be described from the fossil record; the beetle's distinctive morphology includes an elongate head combined with a squat body form. Two additional brochocolein species in Burmese amber are briefly discussed, showing that this extinct, mainly late Mesozoic, archaic beetle group was still relatively diverse in the mid-Cretaceous. (C) 2016 The Geologists' Association. Published by Elsevier Ltd. All rights reserved.","[Jarzembowski, Edmund A.; Wang, B.; Zheng, Daran] Chinese Acad Sci, State Key Lab Palaeobiol & Stratig, Nanjing Inst Geol & Palaeontol, 39 East Beijing Rd, Nanjing 210008, Jiangsu, Peoples R China; [Jarzembowski, Edmund A.] Nat Hist Museum, Dept Earth Sci, Cromwell Rd, London SW7 5BD, England; [Wang, B.] Chinese Acad Sci, Key Lab Zool Systemat & Evolut, Inst Zool, 1 Beichen West Rd, Beijing 100101, Peoples R China; [Zheng, Daran] Univ Hong Kong, Dept Earth Sci, Hong Kong Special Adm Reg, Hong Kong, Hong Kong, Peoples R China","Jarzembowski, EA (corresponding author), Nat Hist Museum, Dept Earth Sci, Cromwell Rd, London SW7 5BD, England.",jarzembowski2@live.co.uk,,,"Chinese Academy of Sciences President's International Fellowship Initiative [2011T2Z04]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41572010, 41622201]; Youth Innovation Promotion Association of CAS [2011224]","This research (grant nos. in parentheses) was supported by the Chinese Academy of Sciences President's International Fellowship Initiative (2011T2Z04), the National Natural Science Foundation of China (41572010,41622201) and the Youth Innovation Promotion Association of CAS (2011224).",,31,10,12,0,2,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0016-7878,,,P GEOLOGIST ASSOC,Proc. Geol. Assoc.,DEC,2016,127,6,,,,,676,680,,10.1016/j.pgeola.2016.11.005,,,5,Geology; Paleontology,Geology; Paleontology,EG3TX,WOS:000390968700003,,,,,20/07/2021
J,"Makarkin, VN",,,,"Makarkin, Vladimir N.",,,"Enormously long, siphonate mouthparts of a new, oldest known spongillafly (Neuroptera, Sisyridae) from Burmese amber imply nectarivory or hematophagy",CRETACEOUS RESEARCH,,,English,Article,,,,,,Upper Cretaceous; Burmese amber; Sisyridae; Paradoxosisyrinae,PROBOSCID FLIES; CHINA INSECTA; HEAD ANATOMY; DIPTERA; MORPHOLOGY; EVOLUTION; FOSSIL; ADAPTATIONS; LACEWINGS; GENUS,"Paradoxosisyra groehni gen. et sp. nov. (Neuroptera: Sisyridae) is described from Upper Cretaceous (lowest Cenomanian) Burmese amber as the oldest known sisyrid. The new genus is assigned to the new subfamily Paradoxosisyrinae, which is characterized by enormously long siphonate mouthparts, very long and slender hind legs, several setiferous calluses on the head and pronotum; deeply forked CuP and AM veins in the forewing; a complete inner gradate series of crossveins, and the RP vein with five branches in the hind wing. The greatly lengthened, laterally flattened galea and lacinia, and the labial ligula transformed into a long acute stylet are characteristic of only this species and do not occur in other insects. These siphonate mouthparts were likely used primarily to feed on flower nectar. The possibility remains, however, that the species was hematophagous (possibly facultative), feeding on the hemolymph of arthropods or the blood of such thin-skinned vertebrates as frogs. (C) 2016 Elsevier Ltd. All rights reserved.","[Makarkin, Vladimir N.] Russian Acad Sci, Inst Biol & Soil Sci, Far East Branch, Vladivostok 960022, Russia","Makarkin, VN (corresponding author), Russian Acad Sci, Inst Biol & Soil Sci, Far East Branch, Vladivostok 960022, Russia.",vnmakarkin@mail.ru,,,"Russian Foundation for Basic ResearchRussian Foundation for Basic Research (RFBR) [16-04-00053, 14-04-00649]","I thank Carsten Grohn (Glinde, Germany) for allowing this research on the holotype specimen, providing huge numbers of photographs, and answering numerous questions; Qiang Yang (Sun Yat-sen University, China) and Alexander V. Khramov (Palaeontological Institute, Moscow, Russia) for sending photographs of the mouthparts of Kalligrammatidae; S. Bruce Archibald (Simon Fraser University, Burnaby, Canada) for editing of the English and useful remarks; and two anonymous reviewers for providing valuable suggestions and comments to improve this manuscript. The study is supported by Grant Nos. 16-04-00053 and 14-04-00649 of the Russian Foundation for Basic Research.",,108,12,16,0,39,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,OCT,2016,65,,,,,,126,137,,10.1016/j.cretres.2016.04.007,,,12,Geology; Paleontology,Geology; Paleontology,DP0LY,WOS:000378182500011,,,,,20/07/2021
J,"Lourenco, WR",,,,"Lourenco, Wilson R.",,,A new genus and three new species of scorpions from Cretaceous Burmese amber (Scorpiones: Chaerilobuthidae: Palaeoeuscorpiidae),ARTHROPODA SELECTA,,,English,Article,,,,,,,,"A study of three new scorpion specimens from the Cretaceous amber of Myanmar (Burma) leads to descriptions of one new genus, Burmesescorpiops gen.n., with the sole, and type, species, B. groehni sp.n., as well as of further two new species, Chaerilobuthus gigantosternum sp.n. and C. serratus sp.n., and to a confirmed validity of the subfamily Archaeoscorpiopinae Lourenco, 2015. At present, 18 scorpions and 21 fossil scorpions have been described from Burmese amber. This attests to a considerable degree of scorpion diversity in the Cretaceous Burmese amber-producing forests.","[Lourenco, Wilson R.] Museum Natl Hist Nat, Dept Systemat & Evolut, CP 053,57 Rue Cuvier, F-75005 Paris, France","Lourenco, WR (corresponding author), Museum Natl Hist Nat, Dept Systemat & Evolut, CP 053,57 Rue Cuvier, F-75005 Paris, France.",arachne@mnhn.fr,,,,,,10,3,5,0,2,"KMK SCIENTIFIC PRESS LTD, MOSCOW STATE UNIV",MOSCOW,"ZOOLOGICAL MUSEUM, BOLSHAYA NIKITSKAYA STREET 6, MOSCOW, 00000, RUSSIA",0136-006X,,,ARTHROPODA SEL,Arthropoda Sel.,MAR,2016,25,1,,,,,67,74,,,,,8,Entomology,Entomology,DJ7YW,WOS:000374430100006,,,,,20/07/2021
J,"Boucher, S; Bai, M; Wang, B; Zhang, WW; Yang, XK",,,,"Boucher, Stephane; Bai, Ming; Wang, Bo; Zhang, Weiwei; Yang, Xingke",,,"Passalopalpidae, a new family from the Cretaceous Burmese amber, as the possible sister group of Passalidae Leach (Coleoptera: Scarabaeoidea)",CRETACEOUS RESEARCH,,,English,Article,,,,,,Amber fossil; Earliest Cenomanian; Myanmar; Coleoptera; Passalopalpidae; Passalidae,PHYLOGENY; CHARACTERS; INSECTA; LARVAL,"A new family of Scarabaeoidea is revealed from the Cretaceous amber of Myanmar (earliest Cenomanian, near 100 Ma), on a series of males and females, most in perfect condition. Passalopalpidae fam. nov., Passalopalpus cheni gen. et sp. nov., are probably extinct since a long time. Observations were made on the whole body (head, thorax, abdomen) and appendages (mouthparts, antennae, legs, wings). Most characters are remarkable and plesiomorphic, compared to Passalidae Leach, as well as to some other Scarabaeoidea. Morphological characteristics demonstrate that the fossil species is typically passaloid, but that it cannot belongs to Passalidae. Passalopalpidae and Passalidae are clearly distinct families, with strong assumption to be sister groups. The systematic interpretation of the fossil could fill a historic gap: the sister group of Passalidae had been established previously never in a solid way. Passalids are Gondwanian, whereas passalopalpids lived on former eastern Laurasia. Vicariance of both taxa, each on one of the super-continents, seems to support recent hypotheses of phylogeny and paleobiogeography for Passalidae. Other preliminary notes are given on the morphology, biology and phylogenetic relationships of passalopalpids. (C) 2016 Elsevier Ltd. All rights reserved.","[Boucher, Stephane; Bai, Ming; Wang, Bo; Zhang, Weiwei; Yang, Xingke] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Box 92,1 Beichen West Rd, Beijing 100101, Peoples R China; [Boucher, Stephane] Museum Natl Hist Nat, Dept Systemat & Evolut, CP Entomol 50, UMR 7205,ISYEB, F-75231 Paris 05, France; [Wang, Bo] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, 39 East Beijing Rd, Nanjing 210008, Peoples R China; [Zhang, Weiwei] POB 4680, Chongqing 400015, Peoples R China","Bai, M (corresponding author), Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Box 92,1 Beichen West Rd, Beijing 100101, Peoples R China.",sbl@mnhn.fr; baim@ioz.ac.cn; bowang@nigpas.ac.cn; zhangweiwei@insectnet.cn; yangxk@ioz.ac.cn,,,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51305057, 41572010]; National Science Fund for Fostering Talents in Basic Research (Special Subjects in Animal Taxonomy) [NSFCJ1210002]; Special Fiscal Funds of Shaanxi Province; Youth Innovation Promotion Association of CAS [2011224]; Research Equipment Development Project of Chinese Academy of Sciences [YZ201509]; Humboldt Fellowship from Alexander von Humboldt Foundation, Berlin, Germany","The first author sincerely thanks the second author for having entrusted him in the study of these specimens rather exceptional. We thank very much our colleagues Dany Azar (Lebanese University, Faculty of Sciences II, Department of Natural Sciences, Fanar) for his precious help in the technical work of the amber and photos, and Andre Nel (MNHN, Entomology) for his wise advice on various points. Thanks to Alexander Kirejtshuk (Zoological Institute, RAS, St. Petersburg) for his kind help and submission of the specimens from the Anders Damgaard's collection (Denmark). The research was supported by the National Natural Science Foundation of China (No. 51305057 and 41572010), the National Science Fund for Fostering Talents in Basic Research (Special Subjects in Animal Taxonomy, NSFCJ1210002), Special Fiscal Funds of Shaanxi Province (No. 2013-19), Youth Innovation Promotion Association of CAS (No. 2011224), Research Equipment Development Project of Chinese Academy of Sciences (YZ201509), and by a Humboldt Fellowship (M.B.) from Alexander von Humboldt Foundation, Berlin, Germany.",,45,10,15,0,23,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,SEP,2016,64,,,,,,67,78,,10.1016/j.cretres.2016.03.017,,,12,Geology; Paleontology,Geology; Paleontology,DM7PM,WOS:000376552500009,,,,,20/07/2021
J,"Beutel, RG; Zhang, W; Pohl, H; Wappler, T; Bai, M",,,,"Beutel, R. G.; Zhang, W.; Pohl, H.; Wappler, T.; Bai, M.",,,A miniaturized beetle larva in Cretaceous Burmese amber: reinterpretation of a fossil strepsipteran triungulin,INSECT SYSTEMATICS & EVOLUTION,,,English,Article,,,,,,amber; Burma; Coleoptera; fossils; larva; parasitic,COLEOPTERA; BEHAVIOR; VALLEY,"A wingless and eyeless tiny fossil embedded in Cretaceous amber from Myanmar is described and interpreted phylogenetically as beetle larva, very likely belonging to a cucujiform group of Coleoptera with parasitic habits, probably the family Ripiphoridae. Features supporting this are the lobe-like terminal elements of the legs and the pattern of setae on the abdomen. However the larva display specialized features differing from immatures of extant ripiphorid species, such as for instance the absence of stemmata and the presence of ventral transverse rows of spines. An earlier tentative assignement of a similar larva embedded in Cretaceaous amber from Manitoba (Canada) to Strepsiptera is not followed here. We suggest that this larva is closely related to the beetle larva described here.","[Beutel, R. G.; Pohl, H.] FSU Jena, Inst Spezielle Zool & Evolutionsbiol, D-07743 Jena, Germany; [Zhang, W.; Bai, M.] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Box 92,Beichen West Rd, Beijing 100101, Peoples R China; [Zhang, W.] POB 4680, Chongqing 400015, Peoples R China; [Wappler, T.] Univ Bonn, Steinmann Inst, D-53115 Bonn, Germany","Beutel, RG (corresponding author), FSU Jena, Inst Spezielle Zool & Evolutionsbiol, D-07743 Jena, Germany.",Rolf.Beutel@uni-jena.de,"Pohl, Hans/M-6873-2019; Wappler, Torsten/D-4287-2011; Wappler, Torsten/P-6831-2019","Wappler, Torsten/0000-0003-1592-0988; Wappler, Torsten/0000-0003-1592-0988; Pohl, Hans/0000-0002-7090-6612","National Basic Research Program of China (973 Program)National Basic Research Program of China [2011CB302102]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [31010103913, 31172143]; National Science Fund for Fostering Talents in Basic Research (Special Subjects in Animal Taxonomy) [NSFC-J0630964/J0109, J1210002]; Alexander von Humboldt FoundationAlexander von Humboldt Foundation","We thank Pawel Jaloszynski (Museum of Natural History, University of Wroclaw), Adam Slipinski (CSIRO Canberra), John F. Lawrence (CSIRO Canberra), and Jan Batelka for stimulating discussions and helpful suggestions. This research was supported by the National Basic Research Program of China (973 Program) (No. 2011CB302102), the National Natural Science Foundation of China (Nos. 31010103913, 31172143), the National Science Fund for Fostering Talents in Basic Research (Special Subjects in Animal Taxonomy, NSFC-J0630964/J0109, J1210002), and by a fellowship (to M.B.) from the Alexander von Humboldt Foundation.",,26,11,14,0,10,BRILL ACADEMIC PUBLISHERS,LEIDEN,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",1399-560X,1876-312X,,INSECT SYST EVOL,Insect Syst. Evol.,,2016,47,1,,,,,83,91,,10.1163/1876312X-46052134,,,9,Evolutionary Biology; Entomology,Evolutionary Biology; Entomology,DF2HF,WOS:000371162500005,,,,,20/07/2021
J,"Engel, MS; Wang, B",,,,"Engel, Michael S.; Wang, Bo",,,The first Oriental protorhyssaline wasp (Hymenoptera: Braconidae): A new genus and species in Upper Cretaceous amber from Myanmar,CRETACEOUS RESEARCH,,,English,Article,,,,,,Apocrita; Cenomanian; Euhymenoptera; Ichneumonoidea; Parasitoid; Taxonomy,ICHNEUMONIDS HYMENOPTERA; DOMINICAN AMBER; BURMESE AMBER; TRANSBAIKALIA; SUBFAMILY; LOCALITY; INSECTA; SPAIN,"The exclusively Cretaceous braconid wasp subfamily Protorhyssalinae is reported from the Upper Cretaceous deposits of northern Myanmar. Archaeorhyssalus subsolanus Engel, gen. et sp. nov., is represented by a well-preserved female in Burmese amber and is similar to other protorhyssalines, but differs in numerous details of forewing venation and flagellomere number. This species is the first definitive Oriental occurrence for protorhyssalines, expanding their palaeogeographic distribution from the Lower Cretaceous of Spain, and the Upper Cretaceous of France and New Jersey, USA. A key to the known genera of protorhyssalines is provided. (C) 2016 Elsevier Ltd. All rights reserved.","[Engel, Michael S.] Univ Kansas, Nat Hist Museum, Div Entomol, 1501 Crestline Dr,Suite 140, Lawrence, KS 66045 USA; [Engel, Michael S.] Univ Kansas, Dept Ecol & Evolutionary Biol, Lawrence, KS 66045 USA; [Wang, Bo] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, Nanjing 210008, Jiangsu, Peoples R China; [Wang, Bo] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing 100101, Peoples R China","Engel, MS (corresponding author), Nat Hist Museum, Div Entomol, 1501 Crestline Dr,Suite 140, Lawrence, KS 66045 USA.",msengel@ku.edu; bowang@nigpas.ac.cn,"Engel, Michael S/C-5461-2012","Engel, Michael S/0000-0003-3067-077X","National Basic Research Program of ChinaNational Basic Research Program of China [2012CB821900]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41272013, 41572010, J1210006]; Youth Innovation Promotion Association of the Chinese Academy of Science [2011224]","Financial support for this work was provided by the National Basic Research Program of China (2012CB821900), the National Natural Science Foundation of China (41272013, 41572010, J1210006), and the Youth Innovation Promotion Association of the Chinese Academy of Science (No. 2011224). We are grateful to Ms. Jennifer C. Thomas for assistance with microphotography, and to two anonymous reviewers for their helpful input. This is a contribution of the Division of Entomology, University of Kansas Natural History Museum.",,39,6,8,0,6,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,AUG,2016,63,,,,,,28,32,,10.1016/j.cretres.2016.02.012,,,5,Geology; Paleontology,Geology; Paleontology,DK8GI,WOS:000375164800005,,,,,20/07/2021
J,"Lourenco, WR",,,,"Lourenco, Wilson R.",,,A preliminary synopsis on amber scorpions with special reference to Burmite species: an extraordinary development of our knowledge in only 20 years,ZOOKEYS,,,English,Article,,,,,,Burmite; Cretaceous; fossil; Myanmar; new species; Palaeoburmesebuthidae; scorpion,CRETACEOUS AMBER; MYANMAR BURMA; FOSSIL; BUTHIDAE; PHYLOGENY; BUTHOIDEA; FAMILY; GENUS,"A preliminary study on fossil scorpions found in amber, from the Lower Cretaceous through the Palaeocene and up to the Miocene is proposed. Scorpions remain rare among the arthropods found trapped in amber. Only 24 specimens are known from Cretaceous amber, representing eight families and subfamilies, ten genera and 21 species; in parallel, 10 specimens have been recorded from Baltic amber representing seven genera and ten species. A few more recent fossils from Dominican and Mexican amber have also been described. The present study of a new scorpion specimen from the Cretaceous amber of Myanmar (Burmite) resulted in the description of one new species, Betaburmesebuthus bellus sp.n. - belonging to the subfamily Palaeoburmesebuthinae Lourenco, 2015. The new description brings further elements to the clarification of the status of this subfamily, which is now raised to family level. Once again, this new Burmite element attests to the considerable degree of diversity in the Burmese amber-producing forests.","[Lourenco, Wilson R.] Univ Paris 04, Museum Natl Hist Nat, Inst Systamat Evolut Biodiversit ISYEB, UPMC,EPHE,CNRS,UMR7205, CP 53,57 Rue Cuvier, F-75005 Paris, France","Lourenco, WR (corresponding author), Univ Paris 04, Museum Natl Hist Nat, Inst Systamat Evolut Biodiversit ISYEB, UPMC,EPHE,CNRS,UMR7205, CP 53,57 Rue Cuvier, F-75005 Paris, France.",arachne@mnhn.fr,,,,,,43,6,12,0,8,PENSOFT PUBL,SOFIA,"12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA",1313-2989,1313-2970,,ZOOKEYS,ZooKeys,,2016,,600,,,,,75,87,,10.3897/zookeys.600.8913,,,13,Zoology,Zoology,DQ1AS,WOS:000378933600006,27408601,"DOAJ Gold, Green Published",,,20/07/2021
J,"Liang, FY; Zhang, WW; Liu, XY",,,,"Liang, Feiyang; Zhang, Weiwei; Liu, Xingyue",,,A new genus and species of the paraneopteran family Archipsyllidae in mid-Cretaceous amber of Myanmar,ZOOTAXA,,,English,Article,,,,,,Paraneoptera; Pancondylognatha; Burmopsylla,INSECTA; PSOCOPTERA; PHYLOGENY; PATTERN,"Paraneoptera is a group of orders, representing one of the highly diverse clades of winged insects. Paleozoic and Mesozoic fossil paraneopterans include a few primitive species, which are significant for understanding the early evolution of Paraneoptera. Here we report a new genus and species, namely Burmopsylla maculata gen. et sp. nov. from the mid-Cretaceous (ca. 99 Myr) amber of Myanmar. The new genus belongs to the family Archipsyllidae by having hindwing similar to forewing (shape, size and venation), presence of forewing ra-rp, rp-m and cua-cup crossveins, two-branched R, four-branched M, and four-segmented tarsus. The new species represents the second species of Archipsyllidae in Cretaceous Burmese amber.","[Liu, Xingyue] China Agr Univ, Dept Entomol, Beijing 100193, Peoples R China; [Zhang, Weiwei] Three Gorges Entomol Museum, Chongqing 400015, Peoples R China","Liu, XY (corresponding author), China Agr Univ, Dept Entomol, Beijing 100193, Peoples R China.",xingyue_liu@yahoo.com,"Liu, Xingyue/A-3019-2013","Liu, Xingyue/0000-0002-9168-0659",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [31322501],Many thanks to the reviewers for their valuable comments and suggestions which help improve the quality of the manuscript. This study is supported by the National Natural Science Foundation of China (No. 31322501).,,18,4,7,0,8,MAGNOLIA PRESS,AUCKLAND,"PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND",1175-5326,1175-5334,,ZOOTAXA,Zootaxa,Apr-26,2016,4105,5,,,,,483,490,,10.11646/zootaxa.4105.5.4,,,8,Zoology,Zoology,DK9TH,WOS:000375273900004,27394792,,,,20/07/2021
